제목,기사 내용,타임스탬프
공무원 잡는 악성민원…서울시는 어떻게 1년 새 42% 줄였나,"1'극단 시도' 티아라 아름 ""인류애 사라지게 하는 악마들 너무 싫다""",2024-03-30 01:06:29
"성남시, 공중화장실 5개년 수급계획 추진","[사진=성남시]



경기 성남시가 시민 편의를 위한 공중화장실 5개년(2024~2028년) 수급계획을 수립해 추진한다.

29일 시에 따르면, 오는 2028년까지 수진공원과 한솔·탑·삼평 어린이공원, 시민농원, 수내·대장지구 도서관 등 18곳에 공중화장실을 신축한다.

신축하면 현재 616곳인 공중화장실은 모두 634곳으로 늘어난다.

시설이 낡은 단대·대원공원, 매송·푸른·아름·서현 어린이공원, 분당구청 등에 있는 26곳 공중화장실은 개·보수한다.

현재 124곳인 민간 개방화장실은 총 210곳으로 늘리되, 시는 앞으로 5년간 단계적으로 민간 화장실 86곳을 개방화장실로 추가 지정한다는 계획이다.



[사진=성남시]



이를 위해 화장실을 시민에게 개방하는 민간 시설에 연간 480만원 상당의 화장실 편의용품과 시설관리 운영비를 지원한다.

시는 공중화장실 현황과 수정·중원·분당 지역별 인구수(총 92만명), 인구 1000명당 0.66개인 공중화장실 개수(서울·인천 평균 0.58개), 5년 후 추정 인구수 등을 종합 검토해 이같이 화장실 수급 계획을 수립했다.

공중화장실 운영에 관한 사업 계획도 마련했다.

시는 소유·관리하는 화장실에 사물인터넷(IoT) 기반 안심 비상벨을 설치하고, 수시 위생점검과 불법 촬영 카메라 감시 활동을 한다.



[사진=성남시]



한편 시 관계자는 “인구·교통 밀집 지역과 공중화장실이 없는 곳을 중심으로 신축하고, 민간 개방 화장실을 추가 지정해 긴급한 생리현상 발생 때 언제 어디서나 화장실을 편리하게 이용할 수 있게 하겠다”면서 “안전과 청결에도 힘써 나가겠다”고 말했다.

©'5개국어 글로벌 경제신문' 아주경제. 무단전재·재배포 금지",2024-03-30 01:06:30
쓰러진 취객 구한 보리…'안락사' 위기 넘긴 유기견이었다[댕댕냥냥],"보리 순찰대원. 최정문씨 제공

▶ 글 싣는 순서 ①""킁킁, 실종된 손자를 찾아라!""…우리 동네 '반려견 순찰대'

②구조만 3번째…유기견 출신 '믿음이', 네발의 영웅 됐다

③쓰러진 취객 구한 보리…'안락사' 위기 넘긴 유기견이었다

(끝)

반려동물 인구 1500만 시대. 동물과 인간이 더불어 살아가는 터는 소중합니다. 하지만, 우리가 발 딛고 있는 삶의 터전에는 빛과 어둠이 공존하곤 하는데요. 여기 으슥한 골목에 따뜻한 등불을 밝히는 사람과 그 친구들이 있습니다. 우리 동네 곳곳을 지키는 '반려견 순찰대' 이야기입니다.



이들은 반려견과 견주가 한 팀이 돼 산책을 하면서 우리 동네 범죄·생활위험 요소를 살피고 신고하는 지역 안전지킴이 역할을 톡톡히 해내고 있다고 합니다. '반려견 순찰대'와 함께 동행하면서 골목 치안 사각지대를 채워볼까요?



최정문씨 제공

최정문씨 제공

생후 6개월에 접어든 보리는 아파트에서 버려져 떠돌던 강아지였는데요. 보리가 주인을 빨리 만날 수 있었던 것은 '행운'이었습니다.최정문씨는 지난 2021년 5월 15일 국내 유기동물 입양 플랫폼 '포인핸드'을 통해 인천시 위탁 보호소에서 안락사 위기의 보리를 입양했습니다. 당시 방영중인 MBC드라마 '왔다! 장보리'를 보고 있던 도중 입양 승인 소식을 접했는데, 마침 털색도 보리색이여서 이름을 보리라고 지었습니다.농림축산식품부의 '반려동물 실태조사'에 따르면 2022년 말 기준 동물보호 센터에서 구조한 동물의 평균 보호기간은 26일입니다. 한 달이 채 되지 않는 시간인데요. 매년 1만 7천마리가 넘는 유기견이 관리가 어렵다는 이유로 안락사 되고 있는 실정입니다.최씨는 ""입양 문의가 많다고 전해 들어 데리고 오기 쉽지 않을 거라고 생각했는데, 정작 현장에 온 사람은 1명 뿐이었다""고 말하면서 ""유기견 입양의 현실은 냉혹했다. 운 좋게 보리는 저희 가족이 될 수 있었다""고 전했습니다.보리는 '어질리티'라는 '독(dog·개)스포츠'를 배우며 최씨의 파트너견으로 성장했습니다. 어질리티란 보호자와 반려견이 함께 장애물을 통과해 목적지까지 달리는 체험으로, 반려동물과 보호자가 교감하며 유대감을 높일 수 있는 독스포츠입니다.""유기견 보리가 안락사까지 가지 않고 무사히 가족의 품으로 오기까지 많은 분들의 도움이 있었다""는 그는 우연히 '반려견 순찰대'를 모집한다는 소식을 접했는데요. 독스포츠를 통해 타인·타견 반응을 자연스럽게 익힌 보리는 반려견 순찰대 시험에 당당히 합격할 수 있었습니다.보리는 지난해 4월 25일 순찰대원 자격을 취득한 뒤 5월 2일부터 지금까지 꾸준히 활동하고 있습니다. 총 100번이 넘는 순찰을 돈 보리 대원은 다양한 성과를 얻을 수 있었는데요.자전거 옆에 쓰러져 있던 주취자를 발견하기도 했고, 동네에서 로드킬을 당한 생쥐와 고양이를 신고한 일도 있었습니다. 태풍이 도시를 덮친 날에도 꿋꿋이 나가서 불 꺼진 가로등을 확인하거나 루이·상구 대원과 함께 동네 순찰을 돌며 고장난 비상벨을 발견하기도 했습니다.시민분들에게 '지켜줘서 고마워'라는 인사를 받을 때가 가장 뿌듯하고 힘이 난다는 최씨는 ""반려견 순찰대를 통해 동네 치안에 도움을 줄 수 있어서 기쁘다""라고 말했습니다.순찰 활동이 항상 순조로웠던 건 아닙니다. 간혹 타견 반응이 있는 반려견들이 순찰견을 안전하게 생각해서 보리 대원에게 바로 접근하기도 했습니다. 또 야심한 시각 쓰레기를 버리러 나오신 시민분이 리드줄을 묶지 않은 반려견을 풀어 보리 대원을 덮친 사건도 발생했습니다.최씨는 ""오프리쉬(반려견이 목줄을 착용하지 않은 것)가 안되는 공공장소에서는 항상 주의해야 한다""면서 ""반려견이 흥분 시에는 대인·교통 사고 등 많은 위험이 따르는 걸 인지해 주셨으면 한다. 견주들은 반려견과 외출 시 2m 이내 리드줄을 항상 착용 시키고 지정된 곳에서만 오프리쉬를 부탁한다""고 조언했습니다.'2024 서울 반려견 순찰대'는 지난 15일부터 다음 달 11일까지 서울시 내 동물등록 반려인(미성년자 신청 불가·맹견 신청불가)들을 모집합니다. 모든 반려견이 순찰대의 일원이 될 수는 없습니다. 1차 서류 심사를 통과하더라도 2차 실기의 벽을 넘어야 합니다.심사 요소에는 △""앉아, 이리 와, 기다려"" 등 반려견이 주인의 지시에 잘 반응하는지 △물림 사고 등 안전 예방을 위한 엄격한 기준 아래 주인을 따라 잘 걷는지 △안전사고 예방을 위한 외부 자극 반응 확인 등이 반영됩니다.",2024-03-30 01:06:31
"성남시, 공중화장실 5개년 수급계획 추진…18곳에 신축","성남시 점검반이 민간개방화장실에 불법 촬영 카메라가 설치돼 있는 지를 휴대폰 어플로 탐지 중이다(자료사진)

성남시는 시민 편의를 위한 공중화장실 5개년(2024~2028년) 수급계획을 수립해 추진한다고 29일 밝혔다.

시는 오는 2028년까지 수진공원과 한솔·탑·삼평 어린이공원, 시민농원, 수내·대장지구 도서관 등 18곳에 공중화장실을 신축한다.

신축하면 현재 616곳인 공중화장실은 모두 634곳으로 늘어난다.

시설이 낡은 단대·대원공원, 매송·푸른·아름·서현 어린이공원, 분당구청 등에 있는 26곳 공중화장실은 개보수한다.

현재 124곳인 민간 개방화장실은 총 210곳으로 늘린다.

시는 앞으로 5년간 단계적으로 민간 화장실 86곳을 개방화장실로 추가 지정한다는 계획이다.

이를 위해 화장실을 시민에게 개방하는 민간 시설에 연간 480만원 상당의 화장실 편의용품과 시설관리 운영비를 지원한다.

시는 ▲공중화장실 현황과 수정·중원·분당 지역별 인구수(총 92만명) ▲인구 1000명당 0.66개인 공중화장실 개수(서울·인천 평균 0.58개) ▲5년 후 추정 인구수 등을 종합 검토해 이같이 화장실 수급 계획을 수립했다.

공중화장실 운영에 관한 사업 계획도 마련했다.

시는 소유·관리하는 화장실에 사물인터넷(IoT) 기반 안심 비상벨을 설치하고, 수시 위생점검과 불법 촬영 카메라 감시 활동을 한다.

시 관계자는 ""인구·교통 밀집 지역과 공중화장실이 없는 곳을 중심으로 신축하고, 민간 개방 화장실을 추가 지정해 긴급한 생리현상 발생 때 언제 어디서나 화장실을 편리하게 이용할 수 있게 하겠다""면서 ""안전과 청결에도 힘써 나가겠다""고 말했다.",2024-03-30 01:06:34
"성남시, 공중화장실 5개년 수급계획 추진…18곳에 신축","▲ 자원순환과-성남시 불법촬영 및 비상벨 점검반이 민간 개방화장실에서 불법촬영 카메라가 설치돼 있는 지를 탐지 중이다(자료사진).

[성남=오왕석 기자] 성남시는 시민 편의를 위한 공중화장실 5개년(2024~2028년) 수급계획을 수립해 추진한다고 29일 밝혔다.

시는 오는 2028년까지 수진공원과 한솔·탑·삼평 어린이공원, 시민농원, 수내·대장지구 도서관 등 18곳에 공중화장실을 신축한다.

신축하면 현재 616곳인 공중화장실은 모두 634곳으로 늘어난다.

시설이 낡은 단대·대원공원, 매송·푸른·아름·서현 어린이공원, 분당구청 등에 있는 26곳 공중화장실은 개보수한다.

현재 124곳인 민간 개방화장실은 총 210곳으로 늘린다.

시는 앞으로 5년간 단계적으로 민간 화장실 86곳을 개방화장실로 추가 지정한다는 계획이다.

이를 위해 화장실을 시민에게 개방하는 민간 시설에 연간 480만원 상당의 화장실 편의용품과 시설관리 운영비를 지원한다.

시는 ▲공중화장실 현황과 수정·중원·분당 지역별 인구수(총 92만명) ▲인구 1000명당 0.66개인 공중화장실 개수(서울·인천 평균 0.58개) ▲5년 후 추정 인구수 등을 종합 검토해 이같이 화장실 수급 계획을 수립했다.

공중화장실 운영에 관한 사업 계획도 마련했다.

시는 소유·관리하는 화장실에 사물인터넷(IoT) 기반 안심 비상벨을 설치하고, 수시 위생점검과 불법 촬영 카메라 감시 활동을 한다.

시 관계자는 “인구·교통 밀집 지역과 공중화장실이 없는 곳을 중심으로 신축하고, 민간 개방 화장실을 추가 지정해 긴급한 생리현상 발생 때 언제 어디서나 화장실을 편리하게 이용할 수 있게 하겠다”면서 “안전과 청결에도 힘써 나가겠다”고 말했다.

[저작권자ⓒ 시민일보. 무단전재-재배포 금지]",2024-03-30 01:06:36
속리산국립공원 탐방객 대상 휴대용 SOS비상벨서비스 시범 운영,"▲ SOS비상벨

국립공원공단 속리산국립공원사무소는 오는 4월 1일부터 탐방객 안전사고 발생 시 신속한 구조를 위해 휴대용 SOS 비상벨 대여 서비스를 시범 운영한다고 밝혔다.

이번 서비스는 신속한 안전사고 대응을 위해 도입된 Songnisan National park Safety의 약자인 SNS 서비스로 탐방객에게 휴대용 SOS 비상벨을 대여하여 산행 중 위급 상황 발생 시비상벨을 누르면 핸드폰과 연동되어 신고자의 위치가 속리산국립공원사무소로 전달된다.

또한, 현장의 음성과 영상 자료는 위급 상황이 발생한 탐방객 핸드폰에 자동으로 저장되어 사고 당시 상황을 파악할 수 있는 안전 서비스로 시범 운영을 통해 국립공원 특성에 맞는 개선책을 발굴하고 추후 확대 여부 등을 검토해 나갈 예정이다.

대여 방법 등 자세한 사항은 속리산국립공원 누리집(www.knps.or.kr) 또는 속리산국립공원사무소(☏043-542-5267)로 문의하면 확인할 수 있다.

속리산국립공원사무소 김동준 탐방시설과장은 ""SNS 서비스는 탐방객 안전사고 발생 시 신속한 대응을 통해 국민의 안전을 지키기 위한 서비스인 만큼""국립공원 탐방 시 탐방객 안전을 위해 적극적인 활용을 부탁드린다""고 말했다./보은=심연규기자",2024-03-30 01:06:37
"㈜더포스, 음성인식비상벨로 시민 무사히 구조","논산시 연무 안심시장 내 공중화장실에서 발생한 비상 상황이 ㈜더포스의 음성인식 비상벨 덕분에 무사히 해결됐다.



(주)더포스에 따르면 최근 논산시 한 공중화장실 문이 내부에서 잠겨 이용객이 갇히는 사고가 발생했다.

이용객은 화장실 내 설치된 음성인식 비상벨을 발견하고 즉시 사용하여 ㈜더포스 본사 콜센터와 연결됐다.



콜센터 직원은 신속히 상황을 파악하여 충청남도경찰청과 연무지구대에 이용객의 긴급한 상황을 전달했다. 약 12분 만에 경찰이 현장에 도착해 이용객을 안전하게 구조할 수 있었다.



이번 사건은 공공장소에 설치된 비상벨의 중요성과 신속한 대응 시스템의 필요성을 다시 한번 부각시켰다.



㈜더포스와 충청남도경찰청은 ""이용객들의 안전을 위해 공중화장실과 같은 공공장소에 비상벨 설치가 중요하다고 강조하며, 안전한 환경 조성을 위해 지속적으로 노력할 것""임을 밝혔다.



논산시민들은 ""이번 사건을 계기로 공공장소에서의 안전 시설에 대한 인식이 높아질 것으로 기대하며, 실제 위급 상황에서 큰 도움이 될 수 있는 비상벨의 중요성을 새삼 느꼈다""고 전했다.

[저작권자ⓒ 매일안전신문. 무단전재-재배포 금지]",2024-03-30 01:06:39
"김포시 도시안전정보센터, 시민안전지킴이 역할 '톡톡'... 24시간 관내 CCTV ...","cctv관제실

[일요서울｜김포 강동기 기자] 가족이 갑자기 실종됐다면? 말 못하는 어린아이나 연세든 우리 부모님이 갑자기 사라졌다면? 애타는 마음으로 걱정과 당황속에 여기저기 찾아헤맬 것이다.

범죄에 노출된 것은 아닌지, 사고가 생긴 것은 아닌지 걱정은 커져만 가고, 어디부터 어떻게 찾아야 할지 까마득한 상황에 놓일 것이다.

실제로 지난 24일 김포시에 거주하는 한 11세 아이가 실종됐다. 그러나 실종 접수 두 시간만에 아이는 무사히 부모의 품으로 돌아갈 수 있었다. 김포시가 어떻게 사건을 해결했는지 살펴봤다.

- 사라진 어린이, CCTV 관제로 실종 두 시간만에 안전히 부모 품에

▲경찰은 지난 24일 김포시에 거주하는 한 아이가 사라졌다는 실종신고를 접수받았다. 경찰은 접수 직후 즉각 김포시 도시안전정보센터에 협조를 요청했다.

평소 김포시와 김포경찰서는 범죄 해결 및 예방에 총력을 기하고자 협력으로 안전망을 구축하고 있었던 상황이었다.

경찰서의 협조를 접수받은 김포시 도시안전정보센터 CCTV 관제요원 A씨는 방범CCTV 모니터링 집중관제에 돌입했다.

집중관제를 통해 꼼꼼히 모니터링을 한 결과 같은 날 18시 15분경 같은동 금빛공원 부근 CCTV 카메라에 잡힌 실종아동 뒷모습을 확인할 수 있었다.

아동의 모습을 확인한 센터에서는 즉시 경찰서 상황실로 통보했고, 이런 상황을 공유받은 해당 지구대에서는 즉시 출동해 실종아동의 신병을 확보해 안전하게 부모 품으로 돌려보낼 수 있었다.

이러한 소식을 접한 김포경찰서장은 28일 관제센터를 직접 방문해 감사장을 수여하고 각종 사건·사고 및 범죄예방을 위한 CCTV 통합관제센터의 역할과 중요성에 감사하며 관제요원들을 격려했다.

- 치매 어르신도 실종 한 시간만에 찾아, CCTV 통해 시민 안전 확보

▲이 같은 사례는 처음이 아니다. 지난해 12월 실종된 치매 어르신을 CCTV 관제를 통해 보호자에게 인계한 사례도 있었다.

지난해 12월 자정을 넘은 시각 관제방문 실종팀으로부터 실시간 모니터링 요청 접수가 들어왔고, 즉각 CCTV 관제에 돌입한 결과 1여시간만에 실종된 어르신을 찾을 수 있었던 것이다.

실종된 어르신을 확인한 도시안전정보센터는 즉각 112에 연계해 어르신을 보호할 수 있었고, 보호자에게 무사히 인계할 수 있었다.

한편, 김포시 도시안전정보센터는 시 1,841개소에 설치중인 관내 6,934대의 CCTV를 관리하고 있다. 도시안전정보센터에 근무하는 관제사들은 4교대로 근무하며 24시간 관내 CCTV를 관제하며 시민의 안전을 지키고 있다.

방범, 재난감시, 어린이보호구역 등 AI 지능형 감시는 물론, 관제사들의 육안으로도 동시 감시하며 위험요소 발생시 파견 경찰관을 통해 빠르게 관할 파출소와 소통해 즉시 조치하고 있다. 또한 야간에도 눈에 잘 띄도록 돕는 LED안내판과 비상벨을 함께 설치해 지난해 2,539건의 범죄를 해결하기도 했다.

김진석 도시안전정보센터장은 “우리시에서 발생하는 각종 범죄 해결과 예방에 없어서는 안될 중요한 시설이며, 앞으로도 김포경찰서와 협력해 안전한 김포시를 만들기 위해 최선을 다하겠다”고 밝혔다.",2024-03-30 01:06:41
[29일 성남시] 중앙공설시장 빈 점포 입점자 공개모집 등,"advertisement

성남시 수정구 수정로 109 중앙공설시장 전경. 사진=성남시

advertisement

[아시아타임즈 경기동부취재본부=박동화 기자] 성남시는 중앙공설시장 빈 점포 12곳에 대한 입점자를 내달 12일까지 공개 모집한다.

중앙공설시장은 성남시의 현대화 사업을 거쳐 재탄생한 8층(지상 7층, 지하 1층) 규모의 현대식 공설시장이다.

advertisement

advertisement

이번에 공개 모집하는 점포는 1층 4곳, 2층 8곳으로 총 12곳이다.

신청 자격은 공고일 기준 성남시 내에 주민등록이 되어 있는 만 20세 이상인 자로, 접수일 현재 국세 및 지방세 체납이 없으며, 본인·배우자 또는 동일 세대 구성원이 성남시로부터 공설시장 사용 허가권을 받지 아니한 자이다.

신청서 접수 기간은 내달 11일부터 12일까지이며 입점 희망자는 수정커뮤니티센터 2층 성남시상권활성화재단 사무실로 직접 방문해 접수할 수 있다.

신청 서류 등 자세한 사항은 성남시청 홈페이지 또는 성남시상권활성화재단 홈페이지를 통해 확인할 수 있다.

입점자는 1차 서류심사와 2차 면접심사를 거쳐 선정되며, 최종 선발자는 발표 후 계약 체결 및 사용허가 신청을 통해 입점 및 운영할 수 있다.

시 관계자는 ""이번 빈 점포 공개모집에 많은 지원자가 신청해 공설시장 활성화에 도움이 되기를 바란다""고 밝혔다.

공중화장실 5개년 수급계획 추진… 18곳에 신축

성남시는 시민 편의를 위한 공중화장실 5개년(2024~2028년) 수급계획을 수립해 추진한다고 29일 밝혔다.

시는 오는 2028년까지 수진공원과 한솔·탑·삼평 어린이공원, 시민농원, 수내·대장지구 도서관 등 18곳에 공중화장실을 신축한다.

신축하면 현재 616곳인 공중화장실은 모두 634곳으로 늘어난다.

시설이 낡은 단대·대원공원, 매송·푸른·아름·서현 어린이공원, 분당구청 등에 있는 26곳 공중화장실은 개보수한다.

현재 124곳인 민간 개방화장실은 총 210곳으로 늘린다.

시는 앞으로 5년간 단계적으로 민간 화장실 86곳을 개방화장실로 추가 지정한다는 계획이다.

이를 위해 화장실을 시민에게 개방하는 민간 시설에 연간 480만원 상당의 화장실 편의용품과 시설관리 운영비를 지원한다.

시는 △공중화장실 현황과 수정·중원·분당 지역별 인구수(총 92만명) △인구 1000명당 0.66개인 공중화장실 개수(서울·인천 평균 0.58개) △5년 후 추정 인구수 등을 종합 검토해 이같이 화장실 수급 계획을 수립했다.

공중화장실 운영에 관한 사업 계획도 마련했다.

시는 소유·관리하는 화장실에 사물인터넷(IoT) 기반 안심 비상벨을 설치하고, 수시 위생점검과 불법 촬영 카메라 감시 활동을 한다.

시 관계자는 ""인구·교통 밀집 지역과 공중화장실이 없는 곳을 중심으로 신축하고, 민간 개방 화장실을 추가 지정해 긴급한 생리현상 발생 때 언제 어디서나 화장실을 편리하게 이용할 수 있게 하겠다""면서 ""안전과 청결에도 힘써 나가겠다""고 말했다.

탄천·공원 환경 모델로 원주지역 조경 개선 방안 모색

성남시 탄천 시설 둘러보고 있는 원강수 원주시장(앞줄 가운데)과 이진찬 성남부시장(앞줄 오른쪽). 사진=성남시

성남시는 자매결연 도시인 강원도 원주시가 탄천과 공원 환경을 벤치마킹하려고 지역을 찾았다고 29일 밝혔다.

성남을 방문한 이들은 원강수 원주시장과 환경국장 등 23명이다.

이들 원주시 벤치마킹단은 28일 성남시 탄천-분당천 합류부(수내동 맴돌공원 부근)와 중앙공원, 율동공원을 차례로 방문했다.

이진찬 성남부시장과 관계 공무원들이 배석해 성남시의 생태하천 복원사업, 탄천 수질, 탄천 현황 등을 안내했다.

중앙공원의 맨발 황톳길, 야외공연장, 분당호, 돌마각, 중국심양정원 등의 시설과 현재 추진 중인 주차장 확충(96면→204면) 사업도 설명했다.

율동공원에선 수변 산책로, 책 테마파크, 맨발 황톳길, 갈대밭, 생태문화공원 조성사업 추진을 소개했다.

시 관계자는 ""성남시는 현재 ‘율동공원 르네상스’를 열기 위해 대대적인 재정비 사업을 추진 중""이라면서 ""수변 문화공간, 자연치유 공간, 감성 힐링·건강 활력 공간을 조성이 완료되면 다시 한번 찾아주시기를 바란다""라고 말했다.

원주시는 성남의 탄천과 공원 환경을 모델로 삼아 원주의 공원, 하천의 조경 개선 방안을 모색한다는 방침이다.

성남시와 원주시는 지난해 5월 30일 자매결연을 맺었다. 성남시민은 원주시의 간현관광지 소금산 그랜드밸리 이용료(9000원)를 50% 할인받는다.",2024-03-30 01:06:43
"㈜더포스 “논산 공중화장실 비상상황,비상벨·콜센터 대응으로 해결”","㈜더포스는 지난 25일 충청남도 논산시 안심시장 내 공중화장실에서 발생한 비상상황이 자사의 비상벨과 콜센터의 대응으로 해결됐다고 29일 밝혔다. ㈜더포스에 따르면 지난 25일 밤 11시34분, 공중화장실을 이용 중이던 한 시민이 문이 잠겨 나오지 못하는 상황이 발생했다. 해당 시민은 비상벨을 통해 ㈜더포스 콜센터로 연결되어 구조를 요청했으며, 더포스 콜센터에서는 즉시 상황을 파악하고 충청남도경찰청 및 연무지구대에 신속하게 연락을 취한 것으로 알려졌다. 이에 충청남도경찰청은 밤 11시 46분경에 상황을 접수하였고, 연무지구대 연무1팀이 23시 52분경 현장에 도착하여 이용객을 안전하게 구출했다고 업체 측은 설명했다. 더포스 관계자는 “더포스 콜센터 직원들은 전문적인 훈련을 받아 다양한 비상 상황에 대처할 수 있으며, 이번 사건처럼 신속하고 효과적인 대응으로 이용객의 안전을 확보할 수 있었다”며 “이번 사건은 단순한 구조 작업을 넘어, 사회적 안전망의 핵심 요소로 자리 잡았음을 입증한 것”이라고 말했다.이어 “더포스가 제공하는 서비스의 질과 신뢰성을 높이 평가받는 계기가 되었으며, 공공장소뿐만 아니라 다양한 환경에서 비상 상황에 대비한 시스템의 중요성을 재확인시켰다”며 “앞으로도 고객의 안전을 최우선으로 생각하며, 언제나 신속하고 효과적인 대응을 제공하기 위해 최선을 다할 것”이라고 덧붙였다.",2024-03-30 01:06:44
